CLUSTER,FREQUENCY,GROUP,N,LOW,HIGH,LOOP,ORIGINAL_TLV,a_bike,a_casual,a_dance,a_golf,a_hiking,a_on_the_move,a_onthemove,a_running,a_studio,a_swim,a_tennis,a_trail_running,a_training,a_travel,a_yoga,c_5_year_basic,c_abc,c_align,c_all_yours,c_allyours,c_always_in_motion,c_alwaysinmotion,c_at_ease,c_atease,c_base_pace,c_basepace,c_blissfeel,c_bowline,c_built_to_move,c_chargefeel,c_city_sweat,c_citysweat,c_cityverse,c_commission,c_cool_racerback,c_dance_studio,c_dancestudio,c_define,c_drysense,c_ebb_to_street,c_ebbtostreet,c_energy,c_engineered_warmth,c_enlite,c_everywhere,c_fast&free,c_fast_&_free,c_free_to_be,c_fundamental,c_groove,c_hold_tight,c_hotty_hot,c_hottyhot,c_instill,c_invigorate,c_license_to_train,c_licensetotrain,c_like_a_cloud,c_likeacloud,c_loungeful,c_love,c_lululemon_lab,c_metal_vent_tech,c_metalventtech,c_pace_breaker,c_perfectly_oversized,c_perfectlyoversized,c_power_pivot,c_power_thru,c_ready_to_rulu,c_restfeel,c_scuba,c_sculpt,c_soft_jersey,c_speed_up,c_speedup,c_steady_state,c_strongfeel,c_surge,c_swift_speed,c_swiftly,c_swiftspeed,c_t.h.e.,c_wunder_puff,c_wunder_train,c_wunder_under,c_wundermost,c_wundertrain,c_wunderunder,c_zeroed_in,cat_accessories,cat_all_bras,cat_allbras,cat_bags,cat_bestsellers,cat_bodysuits,cat_bouteilles_d^eau,cat_button_down_shirts,cat_camisoles,cat_can,cat_capris,cat_chaussettes,cat_coats&jackets,cat_coats_&_jackets,cat_commerceroot,cat_dresses,cat_early_access,cat_equipment,cat_femmes,cat_gift_ideas,cat_giftideas,cat_gloves_&_mittens,cat_hair_accessories,cat_hats,cat_hauts,cat_hauts_à_capuchon_et_chandails,cat_hommes,cat_hoodies&sweatshirts,cat_hoodies_&_sweatshirts,cat_joggers,cat_jumpsuits_&_rompers,cat_jupes,cat_lab_shop,cat_leggings,cat_long_sleeve_shirts,cat_loungewear,cat_manches_courtes,cat_manteaux,cat_manteaux_+_vestes,cat_matching_sets,cat_nos_succès,cat_nouveautés,cat_pantalons,cat_pantalons_d^entraînement,cat_pantalons_de_jogging,cat_pants,cat_polo_shirts,cat_sacs,cat_scarves_&_wraps,cat_shirts,cat_shoes,cat_shop_outfits,cat_short_sleeve_shirts,cat_shorts,cat_shortsleeveshirts,cat_skirts,cat_socks,cat_sous-vêtements,cat_soutiens-gorge_sport,cat_special_edition,cat_sports_bras,cat_sweaters,cat_sweatpants,cat_swim_trunks,cat_swimsuits,cat_t-shirts,cat_tank_tops,cat_tanktops,cat_team_canada_,cat_tights,cat_tricots,cat_trousers,cat_underwear,cat_usa,cat_vêtements_de_détente,cat_water_bottles,cat_we_made_too_much,cat_wemadetoomuch,cat_what^s_new,cat_what^snew,cat_women^s_0-14,cat_yoga_mats,cat_yogaaccessories,clr_black,clr_black_&_white,clr_black_&_white_,clr_blanc,clr_blue,clr_brown,clr_burgundy,clr_camo,clr_gold,clr_green,clr_grey,clr_khaki,clr_metallic,clr_navy,clr_neon,clr_neutral,clr_noir,clr_olive,clr_orange,clr_pastel,clr_pink,clr_printed,clr_purple,clr_red,clr_rose,clr_striped,clr_tie_dye,clr_white,clr_yellow,g_all,g_men,g_women,gift_all
0,30,1,101,-99999,-1,1,-46.466667,0.0,0.0,0.0,0.0,0.008854,0.013098,0.0,0.00405,0.0,0.0,0.000794,0.0,0.004277,0.0,0.001067,0.0,0.002832,0.002455,0.001282,0.0,0.001075,0.0,0.000787,0.0,0.000556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002825,0.0,0.002632,0.0,0.001274,0.002564,0.004329,0.0,0.0,0.0,0.0,0.02362,0.0,0.001576,0.0,0.0,0.001246,0.0,0.002252,0.0,0.0,0.0,0.001768,0.0,0.0,0.0,0.0,0.003947,0.001905,0.0,0.0,0.00303,0.000813,0.0,0.0,0.0,0.005455,0.0,0.001311,0.000959,0.005208,0.000383,0.0,0.003257,0.0,0.001724,0.00113,0.002899,0.0,0.0,0.002857,0.00744,0.003922,0.0,0.0,0.0,0.0,0.021429,0.0,0.0,0.022564,0.004133,0.0,0.0,0.0,0.0,0.008333,0.0,0.0,0.0,0.001114,0.0,0.002,0.0,0.0,0.0,0.002941,0.0,0.010526,0.0,0.005263,0.0,0.033333,0.0,0.0,0.004,0.003846,0.0,0.0,0.0,0.001667,0.005333,0.000952,0.0,0.0,0.0,0.000267,0.0,0.0,0.0,0.0,0.0,0.008389,0.0,0.0,0.0,0.002156,0.0,0.001724,0.0,0.008421,0.0,0.003922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001852,0.0,0.0,0.0,0.0,0.0,0.0,0.007246,0.0,0.0,0.0,0.0,0.00242,0.0,0.000446,0.0,0.0,0.0,0.0,0.007663,0.022222,0.0,0.0,0.004504,0.002932,0.0,0.003571,0.002667,0.000963,0.011779,0.006542,0.0,0.001667,0.000699,0.0,0.0,0.003704,0.0,0.020707,0.000317,0.0,0.000505,0.001754,0.0,0.0,0.00303,0.000637,0.0,0.00852,0.005882,0.007433,0.0
1,1,1,101,-99999,-1,1,-868.0,0.0,0.0,0.0,0.207547,0.0625,0.236902,0.0,0.38785,0.0,0.2,0.238095,0.0,0.40708,0.0,0.173258,0.0,0.026144,0.225859,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.108108,0.0,0.0,0.025641,0.074074,0.0,0.0,0.0,0.0,0.046053,0.0,0.33758,0.0,0.0,0.0,0.0,0.0,0.0,0.112583,0.0,0.167273,0.0,0.0,0.093458,0.0,0.0,0.0,0.190476,0.5,0.0,0.0,0.0,0.0,0.0,0.118421,0.114286,0.137255,0.0,0.0,0.0,0.0,0.0,1.0,0.145455,0.0,0.014493,0.057554,0.0,0.068966,0.0,0.0,0.0,0.396552,0.033898,0.103679,0.0,0.0,0.0,0.473214,0.411765,0.0,0.0,0.0,0.0,0.066964,0.0,0.0,0.169231,0.112,0.0,0.0,0.0,0.0,0.0,0.025862,0.0,0.0,0.206128,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342857,0.0,0.0,0.0,0.0,0.5,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291391,0.0625,0.0,0.0,0.014925,0.0,0.086207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333,0.0,0.0,0.388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267606,0.0,0.0,0.0,0.0,0.0,0.0,0.205255,0.185185,0.0,0.0,0.543544,0.0,0.0,0.0,0.0,0.121387,0.338346,0.065421,0.0,0.0,0.0,0.017391,0.0,0.0,0.0,0.0,0.057143,0.079365,0.174242,0.0,0.0,0.0,0.0,0.025478,0.0,0.082902,0.181586,0.459591,0.0
2,7,1,101,-99999,-1,1,-202.857143,0.0,0.0,0.0,0.0,0.0,0.019199,0.0,0.004339,0.0,0.0,0.0,0.0,0.002528,0.0,0.023406,0.0,0.0,0.022913,0.002198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00282,0.0,0.002275,0.0,0.0,0.0,0.001458,0.0,0.0,0.040681,0.0,0.0,0.0,0.0,0.004005,0.0,0.000965,0.0,0.0,0.0,0.0,0.0,0.036145,0.0,0.0,0.007519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007098,0.0,0.004464,0.003284,0.0,0.001642,0.005952,0.0,0.0,0.0,0.0,0.0,0.001531,0.003827,0.0,0.0,0.0,0.0,0.0,0.028699,0.0,0.0,0.006593,0.04,0.0,0.0,0.0,0.0,0.017857,0.01601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001374,0.0,0.0,0.0,0.029762,0.0,0.028571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002747,0.004926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002322,0.0,0.002551,0.0,0.0,0.0,0.0,0.010087,0.0,0.0,0.0,0.00429,0.0,0.028103,0.0,0.0,0.024773,0.0,0.001335,0.0,0.0,0.034965,0.007453,0.0,0.0,0.0,0.0,0.0,0.0,0.004329,0.0,0.0,0.0,0.0,0.00273,0.0,0.013323,0.003654,0.021283,0.0
3,1,1,101,-99999,-1,1,-1310.0,0.0,0.0,0.0,0.0,0.0,0.009112,0.0,0.0,0.0,0.0,0.02381,0.0,0.0,0.0,0.0,0.0,0.0,0.00491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006623,0.0,0.0,0.0,0.0,0.0,0.017241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038095,0.0,0.0,0.0,0.0,0.0,0.0,0.025478,0.0,0.001727,0.0,0.00779,0.0
4,10,1,101,-99999,-1,1,-274.0,0.0,0.0,0.0,0.050943,0.039062,0.079385,0.0,0.01729,0.0,0.0,0.0,0.0,0.016814,0.0,0.011864,0.0,0.005229,0.022422,0.011538,0.0,0.004301,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005921,0.0,0.01879,0.0,0.006494,0.0,0.0,0.0,0.0,0.011258,0.0,0.010182,0.0,0.0,0.002804,0.0,0.005405,0.0,0.0,0.0,0.002273,0.0,0.0,0.0,0.1,0.01579,0.094286,0.0,0.0,0.0,0.018293,0.0,0.0,0.0,0.0,0.0,0.033126,0.005755,0.003125,0.0,0.0,0.0,0.0,0.0,0.005085,0.004682,0.0,0.0,0.016071,0.024107,0.0,0.015094,0.0,0.0,0.0,0.00625,0.0,0.0,0.041539,0.0212,0.017647,0.0,0.0,0.0,0.0,0.044828,0.0,0.0,0.047911,0.0,0.0,0.017241,0.0,0.0,0.038235,0.0,0.0,0.008696,0.068421,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.030833,0.042,0.005714,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.102649,0.0,0.0,0.0,0.003483,0.0,0.0,0.073913,0.01579,0.0,0.011765,0.0,0.0,0.0,0.0,0.0,0.076667,0.052174,0.0,0.011111,0.0,0.004167,0.0,0.0,0.0,0.0,0.021739,0.0,0.0,0.0,0.005,0.02026,0.0,0.001339,0.0,0.0,0.0,0.0,0.013465,0.0,0.0,0.0,0.016516,0.02963,0.1,0.0,0.0,0.040462,0.005263,0.085047,0.0,0.0,0.0,0.016522,0.0,0.0,0.0,0.004546,0.010476,0.0,0.033333,0.060526,0.0,0.0,0.0,0.001911,0.0,0.014335,0.002558,0.080039,0.0
5,16,1,101,-99999,-1,1,-116.8125,0.0,0.0,0.0,0.0,0.0,0.010962,0.0,0.007886,0.0,0.0,0.016369,0.0,0.004425,0.0,0.002472,0.0,0.004902,0.005524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005631,0.0,0.0,0.000534,0.0,0.0,0.0,0.004237,0.0,0.0,0.0,0.008957,0.0,0.000812,0.0,0.0,0.000772,0.0,0.002897,0.0,0.000682,0.013158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001623,0.0,0.016071,0.007353,0.0,0.0,0.002287,0.0,0.004032,0.0,0.0,0.0,0.001165,0.0,0.0,0.0,0.0,0.0,0.0,0.001078,0.003178,0.008152,0.0,0.0,0.0,0.009487,0.0,0.002359,0.0,0.0,0.0,0.003906,0.0,0.0,0.001923,0.00825,0.011029,0.0,0.001736,0.0,0.0,0.0,0.0,0.0,0.001741,0.0,0.0,0.0,0.0,0.0,0.005515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000357,0.000601,0.0,0.0,0.0,0.007813,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.013659,0.0,0.0,0.0,0.001244,0.002805,0.001078,0.0,0.001316,0.0,0.0,0.0,0.0,0.0,0.0,0.003205,0.0,0.0,0.0,0.0,0.0,0.005208,0.0,0.0,0.0,0.0,0.0,0.001736,0.0,0.0,0.0,0.007381,0.0,0.000977,0.0,0.0,0.0,0.0,0.008313,0.0,0.0,0.0,0.004129,0.003472,0.0,0.0,0.0,0.01698,0.00235,0.002921,0.0,0.0,0.001748,0.001087,0.0,0.0,0.0,0.0,0.013095,0.0,0.004261,0.001645,0.0,0.0,0.0,0.002787,0.0,0.002051,0.001758,0.013145,0.0
6,1,1,101,-99999,-1,1,-468.0,0.0,0.0,0.0,0.0,0.0,0.072893,0.0,0.056075,0.0,0.0,0.0,0.0,0.230088,0.0,0.011299,0.0,0.0,0.00982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305085,0.023411,0.0,0.0,0.0,0.446429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.025862,0.0,0.0,0.008357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045714,0.0,0.0,0.0,0.0,0.316667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024876,0.0,0.086207,0.0,0.021053,0.0,0.0,0.0,0.0,0.0,0.0,0.115385,0.0,0.0,0.0,0.0,0.454545,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008667,0.0,0.017857,0.0,0.0,0.0,0.0,0.011494,0.0,0.0,0.0,0.078078,0.078704,0.409836,0.0,0.0,0.034682,0.067669,0.0,0.0,0.0,0.0,0.034783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210191,0.0,0.018998,0.0,0.12853,0.0
7,12,1,101,-99999,-1,1,-17.083333,0.0,0.0,0.0,0.0,0.028646,0.072418,0.0,0.02648,0.0,0.016667,0.015873,0.0,0.022124,0.0,0.024639,0.0,0.005991,0.032324,0.023077,0.0,0.0,0.0,0.0,0.0,0.011111,0.0,0.0,0.002976,0.0,0.0,0.0,0.0,0.0,0.001412,0.0,0.003838,0.0,0.027866,0.0,0.030303,0.0,0.011054,0.013374,0.0,0.077263,0.0,0.005758,0.0,0.0,0.017913,0.0,0.004505,0.0,0.031746,0.0,0.015783,0.0,0.027108,0.0,0.004329,0.008772,0.030952,0.003268,0.0,0.001894,0.050813,0.0,0.0,0.007246,0.007576,0.055556,0.006729,0.007194,0.0,0.0,0.0,0.001916,0.0,0.0,0.004237,0.006689,0.0,0.0,0.00744,0.052083,0.0,0.083333,0.0,0.0,0.0,0.095982,0.01348,0.0,0.015385,0.042667,0.078431,0.0,0.0,0.0,0.03125,0.010776,0.0,0.0,0.01091,0.0,0.006667,0.0,0.0,0.0,0.093137,0.0,0.008772,0.018116,0.083333,0.0,0.0,0.0,0.0,0.019048,0.005609,0.0,0.0,0.0,0.047222,0.025,0.014286,0.0,0.0,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.011038,0.0,0.0,0.0,0.011609,0.001603,0.012931,0.0,0.053509,0.0,0.001634,0.023333,0.0,0.0,0.0,0.007479,0.083333,0.018116,0.0,0.009259,0.007576,0.017361,0.0,0.0,0.0,0.0,0.0,0.018518,0.0,0.0,0.016667,0.010924,0.0,0.023251,0.0,0.0,0.008772,0.0,0.045703,0.0,0.011494,0.0,0.021522,0.028549,0.028688,0.0,0.0,0.098266,0.008145,0.022586,0.0,0.020833,0.01282,0.018841,0.0,0.040123,0.002137,0.045455,0.034127,0.0,0.002525,0.024123,0.0,0.0,0.0,0.042463,0.0,0.051382,0.013427,0.059153,0.0
8,11,1,101,-99999,-1,1,-146.272727,0.0,0.0,0.0,0.003431,0.0,0.020398,0.0,0.010408,0.0,0.0,0.008658,0.0,0.018504,0.0,0.010272,0.0,0.011289,0.01592,0.0,0.0,0.00391,0.0,0.009306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016835,0.0,0.0,0.011556,0.0,0.002392,0.0,0.006659,0.0,0.0,0.0,0.003711,0.0,0.0,0.018061,0.0,0.002645,0.009569,0.043388,0.0,0.0,0.0,0.0,0.008658,0.0,0.017218,0.0,0.001095,0.0,0.0,0.001196,0.0,0.005348,0.0,0.01343,0.0,0.0,0.0,0.0,0.0,0.0,0.002823,0.0,0.00142,0.00418,0.0,0.000522,0.0,0.025078,0.0,0.0,0.0,0.0,0.0,0.012987,0.0,0.001715,0.0,0.0,0.0,0.01664,0.004011,0.0,0.015385,0.021091,0.0,0.0,0.002525,0.0,0.0,0.0,0.0,0.0,0.004305,0.0,0.0,0.0,0.0,0.0,0.024064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002597,0.001748,0.0,0.0,0.0,0.006061,0.0,0.0,0.0,0.0,0.0,0.002909,0.0,0.0,0.0,0.0,0.0,0.007827,0.0,0.0,0.0,0.009046,0.0,0.003135,0.0,0.002871,0.0,0.0,0.001818,0.0,0.0,0.0,0.008159,0.0,0.0,0.0,0.0,0.008264,0.0,0.0,0.0,0.0,0.0,0.027668,0.002525,0.0,0.0,0.0,0.012607,0.0,0.005276,0.0,0.0,0.0,0.0,0.008509,0.0,0.0,0.0,0.024024,0.002104,0.0,0.0,0.025455,0.023121,0.012304,0.0,0.0,0.0,0.0,0.007905,0.0,0.0,0.0,0.011019,0.006061,0.0,0.01584,0.0,0.0,0.0,0.0,0.004632,0.0,0.011776,0.034178,0.012658,0.0
9,12,1,101,-99999,-1,1,-82.416667,0.0,0.0,0.0,0.007862,0.0,0.025721,0.0,0.024727,0.0,0.0,0.001984,0.0,0.01733,0.0,0.026679,0.0,0.015251,0.031506,0.000641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002137,0.0,0.0,0.0,0.002825,0.013889,0.0,0.0,0.005573,0.003205,0.005411,0.0,0.010204,0.0,0.0,0.002208,0.0,0.009697,0.039474,0.041667,0.007009,0.0,0.01464,0.0,0.003968,0.0,0.005682,0.0,0.0,0.0,0.0,0.0,0.011905,0.0,0.0,0.0,0.0,0.0,0.002688,0.003623,0.0,0.0,0.002761,0.002398,0.0,0.022031,0.0,0.0,0.027778,0.0,0.0,0.013099,0.0,0.0,0.0,0.043899,0.004902,0.036164,0.0,0.0,0.0,0.015997,0.003676,0.0,0.007692,0.014333,0.014706,0.0,0.0,0.0,0.0,0.015086,0.0,0.0,0.002786,0.0,0.001667,0.0,0.0,0.0,0.014706,0.0,0.0,0.003623,0.048246,0.0,0.0,0.0,0.0,0.004762,0.000801,0.0,0.0,0.0,0.000694,0.0,0.009524,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.013245,0.005208,0.0,0.0,0.006219,0.001603,0.0,0.028986,0.039474,0.0,0.0,0.0,0.0,0.0,0.0,0.019231,0.008333,0.003623,0.0,0.009259,0.045455,0.074653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333,0.015078,0.0,0.017857,0.0,0.0,0.0,0.0,0.01601,0.0,0.0,0.0,0.018518,0.00733,0.068306,0.0,0.0,0.041908,0.02005,0.000779,0.0,0.0,0.004079,0.0,0.0,0.015432,0.0,0.001263,0.021428,0.0,0.030934,0.041667,0.0,0.0,0.0,0.003716,0.0,0.037709,0.009804,0.025073,0.0
0,133,2,1865,1,1000,2,924.601504,0.001504,0.0,0.001253,0.003121,0.004699,0.019919,0.006266,0.020448,0.0,0.005263,0.004834,0.0,0.02086,0.0,0.016057,0.000644,0.006143,0.02076,0.005842,0.0,0.002102,0.0,5.9e-05,0.0,0.008772,0.0,0.000813,0.006176,0.0,0.002185,0.002646,0.0,0.0,0.002931,0.0,0.005342,0.0,0.005196,0.0,0.002539,0.0,0.010588,0.000464,0.000923,0.008913,0.0,0.005632,0.00831,0.001025,0.004497,0.0,0.007062,0.0,0.004296,0.000752,0.003702,0.007519,0.002627,0.0,0.003808,0.008904,0.006445,0.003981,0.0,0.005041,0.005593,0.0,0.005093,0.000327,0.001914,0.005848,0.004701,0.010169,0.001645,0.00605,0.0,8.6e-05,0.002506,0.001426,0.005735,0.006991,0.007519,0.001289,0.00145,0.021549,0.010173,0.001702,0.0,0.0,0.0,0.011077,0.006303,0.0,0.011567,0.01603,0.001769,0.0,0.001044,0.0,0.0,0.005898,0.0,0.0,0.002367,0.0,0.002105,0.00363,0.001611,0.007519,0.015038,0.0,0.0,0.006538,0.00554,0.0,0.0,0.0,0.0,0.006015,0.00629,0.0,0.0,0.003008,0.01792,0.004662,0.004941,0.0,0.0,0.0,0.003789,0.0,0.0,0.0,0.0,0.0,0.011303,0.00047,0.0,0.0,0.016272,0.00106,0.002852,0.003923,0.013613,0.0,0.003243,0.000602,0.0,0.0,0.0,0.012917,0.0,0.000327,0.0,0.002924,0.004785,0.006109,0.0,0.0,0.0,0.0,0.00523,0.005639,0.0,0.0,0.008647,0.016805,0.005013,0.002467,0.0,0.003008,0.005144,0.0,0.011618,0.005291,0.000259,0.0,0.016573,0.005326,0.006779,0.002417,0.003308,0.02386,0.016112,0.003162,0.006015,0.004511,0.012934,0.009219,0.0,0.005291,0.004627,0.00843,0.021339,0.006087,0.012588,0.002374,0.0,0.0,0.001709,0.007902,0.008706,0.010804,0.007884,0.029921,0.0
1,197,2,1865,1,1000,2,181.015228,0.004061,0.000564,0.0,0.006609,0.005473,0.016084,0.0,0.011836,0.0,0.00165,0.003626,0.000801,0.011208,0.0,0.008049,0.000145,0.003318,0.009596,0.002109,0.0,0.000164,0.0,0.0004,0.0,0.003215,0.0,0.004162,0.0,0.0,0.005987,0.000846,0.0,0.0,0.001205,0.0,0.002338,0.0,0.004753,0.000976,0.000264,0.0,0.005439,0.002757,8.9e-05,0.012539,0.0,0.002307,0.005343,0.000692,0.00389,0.0,0.006139,0.0,0.002175,0.00203,0.003961,0.0,0.003608,0.0,0.00033,0.002471,0.002611,0.003384,0.0,0.002769,0.005448,0.0,0.000491,0.001766,0.009506,0.005076,0.003584,0.00073,0.000793,0.003092,0.0,0.000904,0.001058,0.001925,0.003269,0.004244,0.0,0.00029,0.002393,0.014594,0.002986,0.004885,0.0,0.0,0.001846,0.01226,0.008361,0.0,0.011168,0.013827,0.005076,0.0,0.001974,0.0,0.001904,0.000744,0.0,0.0,0.004412,0.0,0.001421,0.007002,0.00145,0.002538,0.015079,0.0,0.000801,0.001545,0.003206,0.0,0.002538,0.0,0.001015,0.004757,0.003807,0.001015,0.0,0.0,0.013917,0.00731,0.00174,0.0,0.0,0.0,0.003208,0.0,0.0,0.005076,0.0,0.0,0.005883,0.002221,0.0,0.001692,0.004723,0.002017,0.002713,0.004635,0.010099,0.0,0.003484,0.000406,0.005076,0.002175,0.0,0.012235,0.003723,0.000883,0.000461,0.001128,0.00323,0.003807,0.0,0.0,0.0,0.005076,0.001324,0.000141,0.0,0.005076,0.001015,0.006622,0.0,0.004532,0.0,0.004061,0.001603,0.0,0.009369,0.002632,0.0,0.005076,0.008216,0.004465,0.004494,0.000544,0.000203,0.008186,0.008206,0.001091,0.003384,0.002284,0.009229,0.008122,0.0,0.00188,0.003319,0.006076,0.015325,0.000242,0.008576,0.002672,0.001128,0.0,0.003922,0.005464,0.000801,0.00946,0.006037,0.018288,6e-06
2,142,2,1865,1,1000,2,543.894366,0.001408,0.001174,0.0,0.005448,0.005392,0.018873,0.002347,0.010399,0.0,0.003345,0.004695,0.0,0.013181,0.007042,0.009244,0.0,0.008929,0.011376,0.002113,0.0,0.003483,0.0,0.000388,0.0,0.003404,0.0,0.000634,0.004779,0.0,0.001445,0.006651,0.0,0.0,0.00191,0.0,0.003197,0.0,0.003633,0.004875,0.003018,0.0,0.002084,0.008172,0.003336,0.012779,0.0,0.002996,0.004818,0.007362,0.004607,0.001408,0.003045,0.0,0.007713,0.000704,0.006615,0.0,0.004667,0.0,0.001463,0.003614,0.008451,0.004143,0.0,0.004481,0.00292,0.0,0.000454,0.000612,0.003969,0.007564,0.003776,0.001875,0.00143,0.004452,0.0,0.002469,0.002641,0.001093,0.000358,0.002968,0.0,0.002012,0.001962,0.014588,0.0058,0.003455,0.0,0.0,0.0,0.009966,0.003625,0.0,0.014843,0.013352,0.003314,0.0,0.004695,0.001006,0.0,0.0034,0.0,0.0,0.003766,0.0,0.001408,0.002186,0.0,0.0,0.016984,0.0,0.001483,0.001837,0.004077,0.0,0.0,0.0,0.0,0.007404,0.003657,0.0,0.0,0.007042,0.014378,0.006338,0.006036,0.0,0.0,0.0,0.002648,0.0,0.0,0.0,0.0,0.0,0.011706,0.003081,0.0,0.0,0.005746,0.001219,0.002307,0.003674,0.016234,0.0,0.004004,0.002676,0.0,0.0,0.0,0.006501,0.002113,0.000919,0.0,0.001565,0.006402,0.005135,0.0,0.0,0.0,0.0,0.01286,0.004695,0.0,0.0,0.000704,0.008896,0.0,0.003505,0.0,0.0,0.000741,0.0,0.011552,0.0,0.0,0.0,0.008311,0.008868,0.001963,0.000503,0.000563,0.010055,0.011225,0.001514,0.0,0.001408,0.006698,0.008512,0.0,0.004956,0.002257,0.015578,0.007579,0.001118,0.002881,0.001668,0.0,0.0,0.001921,0.011528,0.007042,0.008781,0.01621,0.018075,1.8e-05
